headline, link, day, month, year, page
A.J. WHITEMAN CAUGHT AT END OF LONG HUNT: Bank Swindler's Last Refuge in Cupola of His Home. WAS ONCE MAYOR OF DULUTH His Long and Devious Career Culminating in Escape from Detectives Through Window of Moving Train., https://www.proquest.com/docview/96582453/AEB17499F3C44073PQ/1047?accountid=14761,29,1,1905,8
SESSION OPENS 100 BILLS IN.: Wagner Would Appropriate $10000 for Wall Street Investigation., https://www.proquest.com/docview/96938911/AEB17499F3C44073PQ/1101?accountid=14761,7,1,1909,5
Shipping and Mails., https://www.proquest.com/docview/97043420/AEB17499F3C44073PQ/1118?accountid=14761,25,1,1910,15
STANDARD OIL'S FOE TO AID GOVERNMENT: W.W. Tarbell Will Tell of His Long-Continued War on the Trust. RECORDS ARE ELUSIVE Mr. Kellogg Calls on Officials of the Company to Produce Them but in Vain., https://www.proquest.com/docview/96888636/AEB17499F3C44073PQ/1138?accountid=14761,13,1,1909,14
Stock Quote 5 -- No Title, https://www.proquest.com/docview/96568676/AEB17499F3C44073PQ/1143?accountid=14761,15,1,1905,17
Shipping and Mails, https://www.proquest.com/docview/97092189/AEB17499F3C44073PQ/1145?accountid=14761,12,1,1910,15
Shipping and Mails., https://www.proquest.com/docview/97047611/AEB17499F3C44073PQ/1146?accountid=14761,2,1,1910,17
TOPICS OF THE TIMES., https://www.proquest.com/docview/96577869/AEB17499F3C44073PQ/1178?accountid=14761,24,1,1905,8
REMARKABLE EXHIBIT OF DRAMATIC VERSATILITY: Henri De Vries in &quot;A Case of Arson&quot; at the Madison Square. ACTOR PLAYS SEVEN PARTS Provides Impressive Differentiation of Character in Each -- Braisley Diamond Is Paste., https://www.proquest.com/docview/96595933/AEB17499F3C44073PQ/1182?accountid=14761,10,1,1906,9
Stock Quote 4 -- No Title, https://www.proquest.com/docview/96671530/AEB17499F3C44073PQ/1194?accountid=14761,21,1,1907,12
Shipping and Mails., https://www.proquest.com/docview/97118237/AEB17499F3C44073PQ/1197?accountid=14761,16,1,1910, C7
Shipping and Mails., https://www.proquest.com/docview/97001600/AEB17499F3C44073PQ/1202?accountid=14761,23,1,1910,13
BUSINESS TROUBLES., https://www.proquest.com/docview/97078169/AEB17499F3C44073PQ/1229?accountid=14761,13,1,1910,18
DISCHARGES FROM BANKRUPTCY, https://www.proquest.com/docview/96572398/AEB17499F3C44073PQ/1232?accountid=14761,17,1,1905,12
German and American Relations Growing Intimate.: T. Hessenberg President of the American Association of Commerce and Trade in Berlin Tells What German Bankers Think of Our Problem., https://www.proquest.com/docview/96833768/AEB17499F3C44073PQ/1243?accountid=14761,5,1,1908, AFR18
The Hanging Terror of Jamaica.: The &quot;Duppies&quot; that Fill the Hearts of the Superstitious Negro Folk with Dread., https://www.proquest.com/docview/97122080/AEB17499F3C44073PQ/1255?accountid=14761,16,1,1910, X12
Is Panama Safe?: EXPERT SEISMOLOGIST THROWS NEW LIGHT ON EARTHQUAKES Robert T. Hill Late of the United States Geological Survey for Twenty Years an Observer in the Caribbean Region Discusses Lessons of Jamaica Disaster, https://www.proquest.com/docview/96706167/AEB17499F3C44073PQ/1257?accountid=14761,20,1,1907, SM3
SHIPPING AND MAILS, https://www.proquest.com/docview/96707819/AEB17499F3C44073PQ/1264?accountid=14761,22,1,1907,13
QUEER YARNS FROM OUR WATER FRONT: &quot;There Are as Good Stories in the Sea as Ever Came Out of it&quot; Is a Revised Saying but an Equally True and Interesting One -- Some of the Bizarre Incidents That Mariners Do Not Report Officially., https://www.proquest.com/docview/96567345/AEB17499F3C44073PQ/1274?accountid=14761,15,1,1905, SM7
CAPT. MAHAN'S BOOK OF RECOLLECTIONS: Incidents in the Life of a Naval Officer -- Sidelights on the Nation's History., https://www.proquest.com/docview/96841605/AEB17499F3C44073PQ/1279?accountid=14761,25,1,1908, BR41
ART AT HOME AND ABROAD: The German Exhibition at the Metropolitan Museum One of the Season's Chief Attractions -- Some of the Most Notable of the Secessionists., https://www.proquest.com/docview/96997909/AEB17499F3C44073PQ/1298?accountid=14761,10,1,1909, X6
BUSINESS TROUBLES, https://www.proquest.com/docview/96616095/AEB17499F3C44073PQ/1302?accountid=14761,23,1,1906,13
MORALES THE PRESENT HEAD OF THE SANTO DOMINGO REPUBLIC, https://www.proquest.com/docview/96563244/AEB17499F3C44073PQ/1309?accountid=14761,29,1,1905, SM4
Appellate Division Calendar., https://www.proquest.com/docview/96709745/AEB17499F3C44073PQ/1323?accountid=14761,19,1,1907,11
AUCTION SALES THIS WEEK.: To Take Place at 161 Broadway Unless Otherwise Specified., https://www.proquest.com/docview/96567163/AEB17499F3C44073PQ/1329?accountid=14761,15,1,1905,21
RUSSIA'S MAN OF THE HOUR NOW IN AMERICA: Prof. Paul Milyukoff Leader of the Progressive Parties Who Refused a Cabinet Office to Explain His Country's Needs to New Yorkers, https://www.proquest.com/docview/96804617/AEB17499F3C44073PQ/1343?accountid=14761,12,1,1908, SM5
Display Ad 23 -- No Title, https://www.proquest.com/docview/96716519/AEB17499F3C44073PQ/1344?accountid=14761,12,1,1907,15
Display Ad 18 -- No Title, https://www.proquest.com/docview/97098695/AEB17499F3C44073PQ/1352?accountid=14761,29,1,1910,11
Display Ad 19 -- No Title, https://www.proquest.com/docview/97088772/AEB17499F3C44073PQ/1363?accountid=14761,19,1,1910,14
Display Ad 23 -- No Title, https://www.proquest.com/docview/97085517/AEB17499F3C44073PQ/1376?accountid=14761,12,1,1910,15
AUCTION SALES THIS WEEK.: To Take Place at 161 Broadway Unless Otherwise Specified., https://www.proquest.com/docview/96563059/AEB17499F3C44073PQ/1379?accountid=14761,29,1,1905,17
Display Ad 15 -- No Title, https://www.proquest.com/docview/97056213/AEB17499F3C44073PQ/1386?accountid=14761,2,1,1910,17
Display Ad 15 -- No Title, https://www.proquest.com/docview/97088078/AEB17499F3C44073PQ/1387?accountid=14761,19,1,1910,11
Court of Appeals Decisions., https://www.proquest.com/docview/96598844/AEB17499F3C44073PQ/1394?accountid=14761,10,1,1906,7
STATE COURTS.: Appellate Division Calendar., https://www.proquest.com/docview/96711792/AEB17499F3C44073PQ/1395?accountid=14761,31,1,1907,11
Display Ad 18 -- No Title, https://www.proquest.com/docview/97093192/AEB17499F3C44073PQ/1398?accountid=14761,9,1,1910,15
Display Ad 27 -- No Title, https://www.proquest.com/docview/97078126/AEB17499F3C44073PQ/1399?accountid=14761,13,1,1910,17
Display Ad 20 -- No Title, https://www.proquest.com/docview/97102354/AEB17499F3C44073PQ/1407?accountid=14761,10,1,1910,16
COURT CALENDARS.: FEDERAL COURTS. Supreme Court., https://www.proquest.com/docview/96501223/AEB17499F3C44073PQ/1415?accountid=14761,4,1,1905,13
Display Ad 12 -- No Title, https://www.proquest.com/docview/96574664/AEB17499F3C44073PQ/1439?accountid=14761,19,1,1905,15
Display Ad 14 -- No Title, https://www.proquest.com/docview/96486789/AEB17499F3C44073PQ/1442?accountid=14761,5,1,1905,13
Classified Ad 1 -- No Title, https://www.proquest.com/docview/97115765/AEB17499F3C44073PQ/1444?accountid=14761,6,1,1910,19
THE WEATHER, https://www.proquest.com/docview/96788483/AEB17499F3C44073PQ/1448?accountid=14761,6,1,1908,13
GERMAN-HAITIAN TROUBLE.: Grave Complications Feared -- Haiti Has Friction with Us Too., https://www.proquest.com/docview/96703530/AEB17499F3C44073PQ/13?accountid=14761,11,2,1907,3
HAITI DEMANDS REFUGEES.: Foreign Consulates Embarrassed Over the Unwelcome Presence of Rebels., https://www.proquest.com/docview/96823988/AEB17499F3C44073PQ/25?accountid=14761,2,2,1908, C2
FRENCH-HAITIEN DEAD-LOCK.: Haiti Wants Embassy Refugees and Can't Get Them., https://www.proquest.com/docview/96579441/AEB17499F3C44073PQ/30?accountid=14761,1,2,1905,5
WANT WEST INDIAN NATION.: Porto Ricans Would Unite with Cuba Santo Domingo and Haiti., https://www.proquest.com/docview/96950113/AEB17499F3C44073PQ/41?accountid=14761,28,2,1909, C3
HAITI CUTS DOWN INTEREST.: Makes It Correspond with the Market Price of Haitian Bonds., https://www.proquest.com/docview/96590684/AEB17499F3C44073PQ/45?accountid=14761,9,2,1906,5
THE PASSING OF NORD ALEXIS OF HAITI: A Typical Turn in the Wheel of Popular Fortune by Which Presidents Are Made and Lost in the Black Republic., https://www.proquest.com/docview/96934843/AEB17499F3C44073PQ/57?accountid=14761,21,2,1909, SM3
Article 9 -- No Title, https://www.proquest.com/docview/96951152/AEB17499F3C44073PQ/102?accountid=14761,28,2,1909, SM11
AUTOISTS HERE FOR BIG RACE: Germans Arrive and Others Land To-day for the 20000-Mile Journey. START IN TIMES SQUARE Will Begin the Great Race from New York to Paris at 11 A.M. Next Wednesday. KAISER SENDS GOOD WISHES Enthusiasm Here and Abroad -- The Lorraine at Sandy Hook with Italian and French Contestants. AUTOISTS HERE FOR BIG RACE, https://www.proquest.com/docview/96898280/AEB17499F3C44073PQ/107?accountid=14761,8,2,1908,1
SHIPPING AND MAILS, https://www.proquest.com/docview/96588711/AEB17499F3C44073PQ/118?accountid=14761,27,2,1906,7
SHIPPING AND MAILS, https://www.proquest.com/docview/96590008/AEB17499F3C44073PQ/125?accountid=14761,28,2,1906,12
SHIPPING AND MAILS, https://www.proquest.com/docview/96590008/AEB17499F3C44073PQ/125?accountid=14761,28,2,1906,12
DENIAL BY HAITIAN ENVOY.: Mr. Leger Says His Country Has Never Repudiated a Legitimate Debt., https://www.proquest.com/docview/96604388/AEB17499F3C44073PQ/160?accountid=14761,10,2,1906,5
Stock Quote 2 -- No Title, https://www.proquest.com/docview/96512854/AEB17499F3C44073PQ/187?accountid=14761,15,2,1905,11
SHIPPING AND FOREIGN MAILS., https://www.proquest.com/docview/96504041/AEB17499F3C44073PQ/204?accountid=14761,22,2,1905,8
SHIPPING AND FOREIGN MAILS., https://www.proquest.com/docview/96579250/AEB17499F3C44073PQ/207?accountid=14761,1,2,1905,12
SHIPPING AND MAILS, https://www.proquest.com/docview/96594285/AEB17499F3C44073PQ/223?accountid=14761,13,2,1906,8
SHIPPING AND MAILS., https://www.proquest.com/docview/96597378/AEB17499F3C44073PQ/229?accountid=14761,14,2,1906,13
SHIPPING AND MAILS, https://www.proquest.com/docview/96594421/AEB17499F3C44073PQ/241?accountid=14761,26,2,1906,7
Shipping and Mails., https://www.proquest.com/docview/97043167/AEB17499F3C44073PQ/247?accountid=14761,24,2,1910,16
SHIPPING AND FOREIGN MAILS., https://www.proquest.com/docview/96570396/AEB17499F3C44073PQ/249?accountid=14761,23,2,1905,12
Shipping and Mails., https://www.proquest.com/docview/97046354/AEB17499F3C44073PQ/261?accountid=14761,8,2,1910,17
AT THE HOTELS., https://www.proquest.com/docview/96483375/AEB17499F3C44073PQ/331?accountid=14761,2,2,1905,7
Shipping and Mails., https://www.proquest.com/docview/97049029/AEB17499F3C44073PQ/332?accountid=14761,6,2,1910,15
ARRIVAL OF BUYERS., https://www.proquest.com/docview/96568769/AEB17499F3C44073PQ/333?accountid=14761,27,2,1905,8
Display Ad 16 -- No Title, https://www.proquest.com/docview/97055220/AEB17499F3C44073PQ/345?accountid=14761,20,2,1910,15
ARRIVAL OF BUYERS., https://www.proquest.com/docview/96580435/AEB17499F3C44073PQ/346?accountid=14761,14,2,1905,13
